"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dre01040","Metabolism","Lipid metabolism","dre01040","Biosynthesis of unsaturated fatty acids","7/2190","35/12020",0.2,1.09771689497717,0.273252489662678,0.459868129209921,0.569045454849686,0.278602425874999,"317738/431754/327417/393441/553734/100150288/449816",7
"dre00562","Metabolism","Carbohydrate metabolism","dre00562","Inositol phosphate metabolism","19/2190","101/12020",0.188118811881188,1.03250599032506,0.154840171923022,0.479056546110202,0.588555185221106,0.288154313449746,"368433/437018/393365/406290/373124/373867/560753/368717/449831/791142/570007/322720/404620/560006/556956/562569/567938/393838/100000352",19
"dre00561","Metabolism","Lipid metabolism","dre00561","Glycerolipid metabolism","14/2190","74/12020",0.189189189189189,1.03838084660002,0.156314267877772,0.485163418452485,0.591830553005869,0.289757920688308,"567414/334197/323653/335485/572841/393096/406734/553452/799805/557680/100005587/559124/30354/110438373",14
"dre04340","Environmental Information Processing","Signal transduction","dre04340","Hedgehog signaling pathway","13/2190","69/12020",0.188405797101449,1.03408113294951,0.134003429031172,0.495701604185788,0.600427295210955,0.293966852000468,"406533/30189/548610/30154/563633/619201/403042/30181/100332121/280652/791154/30222/569403",13
"dre00760","Metabolism","Metabolism of cofactors and vitamins","dre00760","Nicotinate and nicotinamide metabolism","9/2190","48/12020",0.1875,1.0291095890411,0.0953790088275177,0.520721994169766,0.626322958022376,0.306645267085619,"562399/322309/406619/415192/557125/393906/791647/386710/560627",9
"dre04540","Cellular Processes","Cellular community - eukaryotes","dre04540","Gap junction","24/2190","133/12020",0.180451127819549,0.990421258626017,-0.0524297277638265,0.556573214984475,0.66479578456479,0.325481412271623,"406533/562585/327650/393946/360144/100148976/795591/386701/406811/30236/373080/557109/561670/558321/386856/399480/565638/100149388/571825/792024/368461/556286/100333702/559529",24
"dre00330","Metabolism","Amino acid metabolism","dre00330","Arginine and proline metabolism","12/2190","67/12020",0.17910447761194,0.983030055203435,-0.0657444107478287,0.576113359962302,0.678708889818602,0.332293214109475,"373132/334197/323653/562774/387290/394133/322614/406688/100005587/431716/557186/436827",12
"dre00970","Genetic Information Processing","Translation","dre00970","Aminoacyl-tRNA biosynthesis","12/2190","67/12020",0.17910447761194,0.983030055203435,-0.0657444107478287,0.576113359962302,0.678708889818602,0.332293214109475,"447847/394188/449661/327329/368235/558898/562037/568332/324025/100126021/101884223/394154",12
"dre00061","Metabolism","Lipid metabolism","dre00061","Fatty acid biosynthesis","4/2190","22/12020",0.181818181818182,0.997924449979245,-0.00459906536433735,0.588267975401016,0.688313549448807,0.336995617845193,"64815/334561/568096/556236",4
"dre00030","Metabolism","Carbohydrate metabolism","dre00030","Pentose phosphate pathway","6/2190","34/12020",0.176470588235294,0.968573730862208,-0.0866113112138114,0.60419207554814,0.702169168880271,0.343779274849582,"415207/335231/560944/321664/407673/403070",6
"dre03440","Genetic Information Processing","Replication and repair","dre03440","Homologous recombination","7/2190","40/12020",0.175,0.960502283105023,-0.118100855984747,0.611237125333963,0.705589164815045,0.345453691463914,"393196/322269/65226/550504/100147913/571834/100333845",7
"dre00591","Metabolism","Lipid metabolism","dre00591","Linoleic acid metabolism","5/2190","29/12020",0.172413793103448,0.946307668083766,-0.13663533621985,0.629546904451197,0.721880450437373,0.353429841095409,"30554/100034406/100148581/406370/767688",5
"dre04261","Organismal Systems","Circulatory system","dre04261","Adrenergic signaling in cardiomyocytes","44/2190","251/12020",0.175298804780877,0.962142298386363,-0.286088756007317,0.638329945446336,0.727104308720329,0.3559874216501,"65237/436925/64612/562640/327263/406685/170581/378746/192322/373881/338317/327650/794575/393946/406660/558752/100006516/406437/360144/393940/336121/100148976/449548/393614/368217/114457/557499/30681/100333455/565173/678560/791169/565910/399480/791855/571825/393908/799067/795492/571753/406582/327379/100333702/777612",44
"dre00531","Metabolism","Glycan biosynthesis and metabolism","dre00531","Glycosaminoglycan degradation","4/2190","24/12020",0.166666666666667,0.914764079147641,-0.197282932957368,0.66043051436861,0.742875795038277,0.363709079578104,"563849/108181664/327635/100538007",4
"dre00515","Metabolism","Glycan biosynthesis and metabolism","dre00515","Mannose type O-glycan biosynthesis","5/2190","30/12020",0.166666666666667,0.914764079147641,-0.220624205790364,0.660813933958468,0.742875795038277,0.363709079578104,"446213/497644/446214/100093713/768123",5
"dre00860","Metabolism","Metabolism of cofactors and vitamins","dre00860","Porphyrin metabolism","13/2190","79/12020",0.164556962025316,0.903184787006531,-0.407489354835103,0.70250532999499,0.784616342591807,0.384145088172243,"58215/447823/58108/406286/436771/436651/570913/562037/557077/791210/553552/436959/58016",13
"dre00430","Metabolism","Metabolism of other amino acids","dre00430","Taurine and hypotaurine metabolism","3/2190","20/12020",0.15,0.823287671232877,-0.373310917498754,0.733683770885653,0.814152313498918,0.398605783842799,"492476/393714/101882295",3
"dre00500","Metabolism","Carbohydrate metabolism","dre00500","Starch and sucrose metabolism","6/2190","39/12020",0.153846153846154,0.844397611520899,-0.459389954892473,0.739262185315479,0.815083947911939,0.399061908402418,"562399/334420/563180/415152/406339/567798",6
"dre00140","Metabolism","Lipid metabolism","dre00140","Steroid hormone biosynthesis","12/2190","83/12020",0.144578313253012,0.793530285525664,-0.890896540587941,0.850176212051789,0.931403238680941,0.456011377567168,"64815/436969/327417/777792/570913/338214/560717/550398/394148/393293/768185/791210",12
"dre00340","Metabolism","Amino acid metabolism","dre00340","Histidine metabolism","3/2190","26/12020",0.115384615384615,0.633298208640674,-0.883480868319018,0.877481056786939,0.955232542831352,0.467678111545337,"334197/323653/100005587",3
"dre00470","Metabolism","Metabolism of other amino acids","dre00470","D-Amino acid metabolism","1/2190","11/12020",0.0909090909090909,0.498962224989622,-0.784680493158601,0.89068077579952,0.957566644992648,0.46882087882137,"797748",1
"dre04977","Organismal Systems","Digestive system","dre04977","Vitamin digestion and absorption","5/2190","41/12020",0.121951219512195,0.66933957010803,-1.00102134475819,0.890759669760603,0.957566644992648,0.46882087882137,"497434/678609/563356/555267/100037332",5
"dre04744","Organismal Systems","Sensory system","dre04744","Phototransduction","6/2190","49/12020",0.122448979591837,0.672071568353369,-1.08565381463068,0.903804565561964,0.965555188053776,0.472732038214823,"192322/406660/336121/368217/327379/406796",6
"dre00053","Metabolism","Carbohydrate metabolism","dre00053","Ascorbate and aldarate metabolism","7/2190","58/12020",0.120689655172414,0.662415367658637,-1.21639389593603,0.923704528959874,0.973853280250481,0.476794751652622,"334197/323653/570913/799805/100005587/791210/403070",7
"dre00533","Metabolism","Glycan biosynthesis and metabolism","dre00533","Glycosaminoglycan biosynthesis - keratan sulfate","2/2190","22/12020",0.0909090909090909,0.498962224989622,-1.11021437895104,0.929508284528054,0.973853280250481,0.476794751652622,"407623/768123",2
"dre00601","Metabolism","Glycan biosynthesis and metabolism","dre00601","Glycosphingolipid biosynthesis - lacto and neolacto series","4/2190","38/12020",0.105263157894737,0.57774573419851,-1.23049726424162,0.934317018207474,0.973853280250481,0.476794751652622,"336526/504044/100093713/768123",4
"dre04020","Environmental Information Processing","Signal transduction","dre04020","Calcium signaling pathway","61/2190","394/12020",0.154822335025381,0.84975546438588,-1.43123551175282,0.935203200007274,0.973853280250481,0.476794751652622,"562640/406529/566411/447887/170581/30705/567905/114550/562585/378746/192322/554230/794575/555941/406660/386966/393940/359830/336121/100148976/368217/445297/568315/557499/373867/114447/692065/368717/100333455/641328/560081/561682/30512/352940/493181/558477/560875/100005700/101882850/405866/322720/386856/100150664/561350/791855/100149388/100144566/100331465/571825/569706/100334116/562569/569836/563904/192321/799067/327379/100333702/559529/100333254/796537",61
"dre00830","Metabolism","Metabolism of cofactors and vitamins","dre00830","Retinol metabolism","12/2190","94/12020",0.127659574468085,0.700670358496065,-1.37513620332265,0.939881654195232,0.973853280250481,0.476794751652622,"407663/378722/405814/436597/402841/570913/494176/324188/116517/322482/791210/558396",12
"dre00604","Metabolism","Glycan biosynthesis and metabolism","dre00604","Glycosphingolipid biosynthesis - ganglio series","1/2190","16/12020",0.0625,0.343036529680365,-1.24113117896209,0.960059091851388,0.984524208050933,0.482019196108168,"322609",1
"dre00040","Metabolism","Carbohydrate metabolism","dre00040","Pentose and glucuronate interconversions","6/2190","57/12020",0.105263157894737,0.57774573419851,-1.50824150632657,0.961628296235795,0.984524208050933,0.482019196108168,"751596/334420/570913/553452/799805/791210",6
"dre03460","Genetic Information Processing","Replication and repair","dre03460","Fanconi anemia pathway","5/2190","51/12020",0.0980392156862745,0.538096517145671,-1.56022365322987,0.96793191082025,0.984754398877369,0.482131896635187,"393196/324185/65226/334682/100332714",5
"dre00603","Metabolism","Glycan biosynthesis and metabolism","dre00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/2190","18/12020",0.0555555555555556,0.30492135971588,-1.39290933934504,0.973303766332283,0.984754398877369,0.482131896635187,"100093713",1
"dre04081",NA,NA,"dre04081","Hormone signaling","45/2190","328/12020",0.13719512195122,0.753007016371534,-2.14070390339107,0.988657110611145,0.994438731141035,0.486873307780189,"100151255/794669/30615/393760/327650/794575/555911/100332205/393946/445564/30767/394236/100007047/245701/554221/100148976/100000252/445297/30641/337838/326018/799937/100001836/100333455/436966/503868/570244/100151181/245700/559111/100331465/571825/100329897/100006041/352937/100003596/100000095/100333702/796780/406796/100331745/447846/794462/492811/100330650",45
"dre04082",NA,NA,"dre04082","Neuroactive ligand signaling","21/2190","333/12020",0.0630630630630631,0.346126948866675,-5.71141212844261,0.999999999958649,0.999999999958649,0.489596083211089,"566411/393760/327650/100332205/393946/394236/100007047/100148976/561773/337838/664719/101882850/100150701/571825/100003596/571633/100333702/796780/406796/492811/100330650",21
